NPSN,Nama_sekolah,Jenjang,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,SPP,Kurikulum,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Tanggal SK Pendirian,Umur,meter listrik,harga_listrik_per_bulan,luas tanah,Harga Tanah Pasaran per kecamatan,estimasi harga tanah sekolah,Website,is_surabaya,is_website,is_agama
20563771,TK ISLAM SABILILLAH,TK,A,378,23,23,1,25,0,1,300000,Kurikulum Merdeka,TPI SABILILLAH,3,3,2003,22,1500,20400000,672,4500000,3024000000,-,0,0,1
P9984425,PKBM BOARDING SCHOOL AL KAUTSAR,PKBM,A,365,16,12,1,16,0,1,3200000,Kurikulum Merdeka,,0,0,2018,7,82500,1122000000,90000,2200000,198000000000,http://alkautsarboardingschool.sch.id,0,1,1
20532150,SMAS KEMALA BHAYANGKARI 2,SMA,B,110,5,9,1,11,2,1,225000,Kurikulum Merdeka,Yayasan Kemala Bhayangkari,22,5,2016,9,20000,272000000,3700,9840000,36408000000,http://smakmlbhayangkari2sby.sch.d,1,1,0
69918831,SMP Islam Tanwirul Afkar,SMP,A,341,12,21,2,12,2,1,180000,Kurikulum Merdeka,Tanwirul Afkar,1,1,2012,13,11000,149600000,1527,2600000,3970200000,http://tanwirulafkar.or.id,0,1,1
20501692,SMK KRIAN 1 SIDOARJO,SMK,A,2559,65,66,20,34,11,2,220000,Kurikulum Merdeka,YAYASAN PEMBANGUNAN PENDIDIKAN KRIAN SIDOARJO,3,2,1971,54,11000,149600000,12506,2600000,32515600000,http://www.smkkrian1.sch.id,0,1,0
69957347,SD Islam Unggulan Al Maslachah,SD,A,323,13,16,5,13,1,1,175000,Kurikulum Merdeka,Al - Maslachah,3,3,2016,9,16500,224400000,600000,2200000,1320000000000,-,0,0,1
60702934,SMP Islam Terpadu Darul Fikri,SMP,A,295,10,19,4,17,2,1,1200000,Kurikulum Merdeka,Pondok Pesantren Darul Fikri Sidoarjo,2,2,2010,15,16500,224400000,3133,4500000,14098500000,http://www.darulfikri.com,0,1,1
69961425,SD ALAM AL IZZAH,SD,A,293,12,15,1,12,1,1,700000,Kurikulum Merdeka,YAYASAN UMMU AZIZAH,3,3,2017,8,5000,68000000,4000,2600000,10400000000,http://www.sekolahalamalizzah.com,0,1,1
20532497,SMP MABADIE KHOIRI UMMAH,SMP,B,42,3,5,4,3,2,1,200000,Kurikulum Merdeka,,0,0,1986,39,2200,29920000,105,32070000,3367350000,-,1,0,0
20539247,SMKS SIANG 1 STM SURABAYA,SMK,B,526,17,27,11,21,8,1,200000,Kurikulum Merdeka,Pendidikan Kejuruan dan Umum Surabaya,3,2,2021,4,33000,448800000,4286,13750000,58932500000,http://www.stmsiang.com,1,1,0
20540028,SMP KATOLIK ST YUSTINUS DE YACOBIS,SMP,A,259,9,13,3,13,2,1,450000,Kurikulum Merdeka,YOHANNES GABRIEL,154,6,1949,76,20298,276052800,1100,2600000,2860000000,http://smpkstyustinusdeyacobiskrian.sch.id,0,1,1
69900159,SD ISLAM TERPADU INSAN CENDEKIA,SD,B,256,11,14,3,11,1,1,565000,Kurikulum Merdeka,NURUL INSAN CENDEKIA,1,1,2015,10,11000,149600000,1936,2600000,5033600000,http://www.insancendekia.ac.id,0,1,1
20539959,SMP AL FATTAH,SMP,A,249,9,16,3,13,3,1,1185000,Kurikulum Merdeka,YAYASAN PONDOK PESANTREN AL FATTAH 1986,2,2,1987,38,200000,2720000000,10000,3500000,35000000000,http://ponpesalfattahsidoarjo.com,0,1,1
20501686,SMP MUHAMMADIYAH 6 KRIAN,SMP,A,248,8,21,6,18,3,1,475000,Kurikulum Merdeka,Pimpinan Daerah Muhammadiyah (PDM) Kab. Sidoarjo,108,9,1978,47,31968,434764800,2646,2600000,6879600000,http://smpmuhammadiyah6krian.sch.id,0,1,1
20532485,SMP SASANA BHAKTI,SMP,B,47,3,4,5,6,2,1,200000,Kurikulum Merdeka,YAYASAN PENDIDIKAN SASANA BHAKTI,4,4,1976,49,12000,163200000,1879,7000000,13153000000,-,1,0,0
20554854,SMK YAPALIS KRIAN,SMK,A,1146,38,56,15,32,8,1,200000,Kurikulum Merdeka,Yayasan Perguruan Al-Islam Krian,4,4,2008,17,105000,1428000000,10852,2600000,28215200000,http://www.smkyapalis-krian.sch.id,0,1,0
20540101,SMK PENERBANGAN DHARMA WIRAWAN SDOARJO,SMK,A,1018,27,29,13,35,3,1,200000,Kurikulum Merdeka,DHARMA WIRAWAN PEPABRI,10,4,1987,38,10000,136000000,2858,5800000,16576400000,http://www.SMKpenerbangan-sda.net,0,1,0
20574532,SMP SEPULUH NOPEMBER SIDOARJO,SMP,A,756,25,28,11,26,2,1,200000,Kurikulum Merdeka,Yayasan Purnama,6,5,2006,19,66000,897600000,2717,3500000,9509500000,http://SMPepuluhnopember.sch.id/,0,1,0
69978462,SD HAFIDZ AL QURAN,SD,B,217,9,10,1,9,1,1,160000,Kurikulum Merdeka,PONDOK PESANTREN TAHFIDZ MANBA'UL QUR'AN,2,2,2016,9,2200,29920000,900,1370000,1233000000,http://www.sdhqporong.mysch.id,0,1,1
69970483,SD ISLAM NURUL HIKAM,SD,A,215,11,10,2,11,0,1,250000,Kurikulum Merdeka,YAYASAN PENDIDIKAN DAN PESANTREN NURUL HIKAM,2,2,2017,8,1200,16320000,299,4500000,1345500000,-,0,0,1
20539958,SMP AL FALAH ASSALAM,SMP,A,212,7,16,1,13,3,1,1500000,Kurikulum Merdeka,YAYASAN PENDIDIKAN AL FALAH ASSALAM,4,4,2000,25,10999,149586400,7620,7530000,57378600000,http://alfalahassalamtropodo.id,0,1,1
69867985,SMP INSAN CENDEKIA MANDIRI,SMP,A,210,9,18,6,12,4,1,550000,Kurikulum Merdeka,YATIM MANDIRI,1,1,2014,11,15000,204000000,80000,4500000,360000000000,http://sekolahicm.sch.id,0,1,1
