NPSN,Nama_sekolah,Kota,,Kelurahan,Kecamatan,,Alamat lengkap,No.Telp,Website,RT dan RW,Kode Pos,Alamat,,,,,Jenjang,Kurikulum,Akreditasi,Kurikulum,Kepala Sekolah,Operator,Peserta Didik,No.Telp,Tanggal SK Operasional,Tanggal SK Pendirian,Umur,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Harga Tanah Pasaran per kecamatan,luas tanah,estimasi harga tanah sekolah,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,meter listrik,per kWh,tarif per kWh,harga_listrik_per_bulan,is_website,is_agama,is_surabaya,SPP,Prediksi SPP
60724600,SMK ISLAM KREMBUNG,Kab. Sidoarjo,Sidoarjo,Rejeni,Kec. Krembung,Krembung,"Jl. Raya Rejeni, Rejeni, Kec. Krembung, Kab. Sidoarjo, Jawa Timur 61275",031318856988,http://smkislamkrb.blogspot.com,1 / 1,61275,Jl. RAYA REJENI,Jl. RAYA REJENI,Jl. Raya Rejeni,Jl. Raya Rejeni,Jl. Raya Rejeni,SMK,Kurikulum Merdeka,B,Kurikulum Merdeka,Rudi Hariyanto,Anik Kholifatin,1428,318856988,2023,2008,17,AB0529,LP. MA'ARIF NU,1,1,750000,7000,5250000000,40,39,4,32,4,1,6600,52800,1700,89760000,0,1,0,,"Rp406,268"
20540058,SMA KEMALA BHAYANGKARI 3,Kab. Sidoarjo,Sidoarjo,Porong,Kec. Porong,Porong,"Jl. Bhayangkari No. 36 C, Porong, Kec. Porong, Kab. Sidoarjo, Jawa Timur 61274",031343851556,http://www.smabhayangkari3.sch.id,0 / 0,61274,JL. BHAYANGKARI NO. 36 C,JL. BHAYANGKARI NO. 36 C,Jl. Bhayangkari No. 36 C,Jl. Bhayangkari No. 36 C,Jl. Bhayangkari No. 36 C,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Moch. Anas,EWIN SUGIARTO,1350,343851556,2023,1983,42,AA0760,Yayasan Kemala Bhayangkari,681,9,1370000,2940,4027800000,36,43,11,36,5,1,5600,44800,1700,76160000,1,0,0,"Rp285,000",
20501708,SMK YPM 3 TAMAN,Kab. Sidoarjo,Sidoarjo,Ngelom,Kec. Taman,Taman,"Jl. Ngelom Megare No.30, Ngelom, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",031317883449,http://www.smkypm3taman.sch.id,3 / 3,61257,JL. NGELOM MEGARE NO.30,JL. NGELOM MEGARE NO.30,Jl. Ngelom Megare No.30,Jl. Ngelom Megare No.30,Jl. Ngelom Megare No.30,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Hasyim Ashari,EKA WAHYUNINGTIAS,1311,317883449,2022,1991,34,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,3012,16566000000,31,36,7,29,4,1,5000,40000,1700,68000000,1,0,0,Rp0,
69888642,SMA PROGRESIF BUMI SHALAWAT,Kab. Sidoarjo,Sidoarjo,Lebo,Kec. Sidoarjo,Sidoarjo,"Jl. Kiai Dasuki No.1, Lebo, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61223",0313199010520,http://sekolahprogresif.sch.id,10 / 4,61223,JL. Kiai Dasuki No.1,JL. Kiai Dasuki No.1,Jl. Kiai Dasuki No.1,Jl. Kiai Dasuki No.1,Jl. Kiai Dasuki No.1,SMA,Kurikulum Internasional,A,Kurikulum Merdeka,MOCHAMAD MISBACHUL MUNIR ARDY,Arisatul Ainiyah,1294,3199010520,2024,2014,11,AB0659,BUMI SHALAWAT PROGRESIF,3,2,4500000,11542,51939000000,37,51,4,46,5,2,4000,32000,1700,54400000,1,0,0,"Rp2,600,000",
20501847,SMA HANG TUAH 2 GEDANGAN,Kab. Sidoarjo,Sidoarjo,Sawotratap,Kec. Gedangan,Gedangan,"Jl. Kri Ratulangi No. 1, Sawotratap, Kec. Gedangan, Kab. Sidoarjo, Jawa Timur 61254",0318541134,http://www.smahangtuah2sda.sch.id,1 / 8,61254,JL. KRI RATULANGI NO. 1,JL. KRI RATULANGI NO. 1,Jl. Kri Ratulangi No. 1,Jl. Kri Ratulangi No. 1,Jl. Kri Ratulangi No. 1,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Rosyidah Rohmah,A. Baihaki,1267,8541134,2024,1988,37,AB5048,HANG TUAH CABANG SURABAYA,35,6,5000000,0,0,35,39,16,36,6,1,99000,792000,1700,1346400000,1,0,0,"Rp545,000",
60729406,SMP PROGRESIF BUMI SHALAWAT,Kab. Sidoarjo,Sidoarjo,Lebo,Kec. Sidoarjo,Sidoarjo,"Jl. Kiai Dasuki No.1 Lebo, Lebo, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61223",031318073739,http://www.sekolahprogresif.sch.id,3 / 1,61223,Jl. Kiai Dasuki No.1 Lebo,Jl. Kiai Dasuki No.1 Lebo,Jl. Kiai Dasuki No.1 Lebo,Jl. Kiai Dasuki No.1 Lebo,Jl. Kiai Dasuki No.1 Lebo,SMP,Kurikulum Merdeka,A,Kurikulum Merdeka,Mahmud Al Fahmi,"Rizky Rostamy, S.Pd.",1238,318073739,2024,2018,7,AB0659,BUMI SHALAWAT PROGRESIF,3,2,4500000,4888,21996000000,39,58,3,50,1,1,19699,157592,1700,267906400,1,0,0,"Rp2,600,000",
20540064,SMA MUHAMMADIYAH 2,Kab. Sidoarjo,Sidoarjo,Celep,Kec. Sidoarjo,Sidoarjo,"Jl. Mojopahit No. 666 B, Celep, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61215",0318921591,http://smamda.sch.id,14 / 5,61215,JL. MOJOPAHIT NO. 666 B,JL. MOJOPAHIT NO. 666 B,Jl. Mojopahit No. 666 B,Jl. Mojopahit No. 666 B,Jl. Mojopahit No. 666 B,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,M. Zainul Arifin,Muhamad Mauludy Falaakhy,1150,8921591,2020,1978,47,AB4667,Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Timur,198,4,4500000,30229,136030500000,32,59,47,39,10,2,0,0,1700,0,1,1,0,"Rp450,000",
20554854,SMK YAPALIS KRIAN,Kab. Sidoarjo,Sidoarjo,Jeruk Gamping,Kec. Krian,Krian,"Jl. Kyai Mojo No. 18 , Jeruk Gamping, Kec. Krian, Kab. Sidoarjo, Jawa Timur 61262",031318986494,http://www.smkyapalis-krian.sch.id,2 / 1,61262,KYAI MOJO NO. 18 ,KYAI MOJO NO. 18 ,Kyai Mojo No. 18 ,Kyai Mojo No. 18 ,Jl. Kyai Mojo No. 18 ,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Vulkan Abriyanto,Nur Istiqomah,1146,318986494,2023,2008,17,AE2840,Yayasan Perguruan Al-Islam Krian,4,4,2600000,10852,28215200000,38,56,15,32,8,1,105000,840000,1700,1428000000,1,0,0,"Rp200,000",
20551763,SD MUHAMMADIYAH 1 PUCANGANOM SIDOARJO,Kab. Sidoarjo,Sidoarjo,Pucanganom,Kec. Sidoarjo,Sidoarjo,"Jl. Raden Patah 91 F, Pucanganom, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61217",031318054178,http://www.sdmuhida.sch.id/,11 / 2,61217,Jl. Raden Patah 91 F,Jl. Raden Patah 91 F,Jl. Raden Patah 91 F,Jl. Raden Patah 91 F,Jl. Raden Patah 91 F,SD,Kurikulum Merdeka,A,Kurikulum Merdeka,Moh. Saifullah Rochim,Iqbal Helmi Risyad,1041,318054178,2020,1964,61,AI5048,Pimpinan Daerah Muhammadiyah (PDM) Kab. Sidoarjo,108,9,4500000,3558,16011000000,36,57,19,36,2,1,240000,1920000,1700,3264000000,1,1,0,"Rp690,000",
20539873,SD ISLAM SABILILLAH FULL DAY SCHOOL SIDOARJO,Kab. Sidoarjo,Sidoarjo,Sidokare,Kec. Sidoarjo,Sidoarjo,"Jl. Perum Gading Fajar 2 Blok BI - BIII, Sidokare, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61271",031318064207,http://www.sdislamsabilillah.sch.id/web/,34 / 9,61271,Perum Gading Fajar 2 Blok BI - BIII,Perum Gading Fajar 2 Blok BI - BIII,Perum Gading Fajar 2 Blok Bi - Biii,Perum Gading Fajar 2 Blok BI - BIII,Jl. Perum Gading Fajar 2 Blok BI - BIII,SD,Kurikulum Merdeka,A,Kurikulum Merdeka,Sri Umami,ASRI WAHYU NINGRUM,1029,318064207,2023,2006,19,AI5042,TPI SABILILLAH,3,3,4500000,3969,17860500000,35,59,8,36,3,1,13000,104000,1700,176800000,1,1,0,"Rp500,000",
